python,sql,machine_learning,power_bi,excel,statistics,java,spring_boot,react,node,mern,docker,aws,education_level,experience_years,suitable
0,0,1,1,0,1,0,0,0,0,1,1,1,3,2,1
0,0,1,1,1,0,0,0,1,1,1,0,0,3,0,0
0,0,1,1,1,0,0,1,0,0,1,0,1,2,0,0
1,0,0,0,0,1,1,0,0,1,0,0,0,4,2,0
0,1,0,1,1,1,1,1,0,1,0,0,1,3,4,1
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1
1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1
0,1,1,1,1,1,0,1,1,1,0,0,0,2,0,1
0,1,0,1,1,1,0,1,0,0,0,1,0,3,0,1
0,0,0,0,1,1,1,0,0,1,1,1,1,2,1,0
1,1,1,1,0,0,1,1,1,1,1,0,0,4,5,1
0,1,0,1,1,1,1,0,1,0,1,1,0,3,3,1
1,1,0,0,1,0,1,1,0,1,0,0,0,3,0,0
0,1,0,0,1,1,1,1,1,1,1,0,0,4,1,0
1,0,0,1,0,0,0,0,0,1,0,0,1,2,4,0
0,0,0,1,1,0,0,0,1,0,1,1,1,1,2,0
0,0,1,0,0,0,0,1,0,0,1,1,0,2,2,0
0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
